Text Question 1,Text Question 2,Text Question 3,Text Question 4,Text Question 5,Text Question 6,Text Question 7,Image Question 1,Image Question 2,Image Question 3,Image Question 4,Image Question 5,Support?,Pursuasive?
0.88,0.83,0.67,0.0,0.0,0.17,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
0.9,0.8,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.83,0.67,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0
0.0,0.0,0.95,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
0.83,0.9,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.07,0.0,1.0
0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.9,0.95,0.05,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.83,0.67,0.33,0.0,0.0,0.17,0.0,0.9,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0
0.0,0.0,0.9,0.0,0.0,0.2,0.0,1.0,0.0,0.9,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.98,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.8,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.92,0.0,0.08,0.0,0.0
0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.83,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.9,0.7,0.0,0.0,0.3,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0
0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0
0.0,0.83,0.25,0.0,0.0,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.7,0.9,0.0,0.0,0.6,0.0,0.93,0.0,0.95,0.0,0.0,0.0,0.0
0.83,0.0,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.98,0.86,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.0,1.0,1.0
